title,user_id,tags,genres,recommend
Counter-Strike,Bennysaputra,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']",Action,True
Call of Duty: World at War,76561198073508075,"['Zombies', 'World War II', 'FPS', 'Action', 'Multiplayer', 'Shooter', 'Moddable', 'Co-op', 'First-Person', 'Singleplayer', 'War', 'Online Co-Op', 'Gore', 'Historical', 'Survival', 'Classic', 'Tanks', 'Great Soundtrack', 'Adventure', 'Horror']",Action,True
TimeShift™,Shemhamphorasch,"['Action', 'FPS', 'Time Manipulation', 'Sci-fi', 'First-Person', 'Shooter', 'Atmospheric', 'Singleplayer', 'Bullet Time', 'Multiplayer', 'Classic', 'Futuristic', 'Time Travel']",Action,True
3D Ultra™ Minigolf Adventures,tsunamitad,"['Sports', 'Mini Golf', 'Golf', 'Local Multiplayer']",Sports,True
Prototype™,TomoeMamiewe,"['Action', 'Open World', 'Adventure', 'Third Person', 'Gore', 'Singleplayer', 'Parkour', 'Superhero', 'Zombies', 'Hack and Slash', 'Action-Adventure', 'Violent', 'Sci-fi', 'Sandbox', 'Story Rich', 'Stealth', 'RPG', 'Atmospheric', 'Controller', 'Horror']",Action,True
Call of Duty®: Modern Warfare® 2,washington_,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'First-Person', 'Singleplayer', 'War', 'Co-op', 'Military', 'Online Co-Op', 'PvP', 'Great Soundtrack', 'Adventure', 'Story Rich', 'Atmospheric', 'Linear', 'Tactical', 'Strategy', 'Moddable', 'Zombies']",Action,True
Postal III,FagGamingM8,"['Action', 'Dark Humor', 'Gore', 'Open World', 'Third-Person Shooter', 'Funny', 'Violent', 'Third Person', 'Comedy', 'Shooter', 'Singleplayer', 'Sandbox', 'Mature', 'Adventure', 'Nudity', 'FPS', 'Great Soundtrack', 'Indie', 'Story Rich', 'First-Person']",Action,True
Kingdoms of Amalur: Reckoning™,Cab117,"['RPG', 'Fantasy', 'Open World', 'Singleplayer', 'Action RPG', 'Action', 'Adventure', 'Third Person', 'Loot', 'Story Rich', 'Magic', 'Character Customization', 'Hack and Slash', 'Exploration', 'Sandbox', 'Controller', 'Crafting', 'Atmospheric', 'Female Protagonist', 'Great Soundtrack']",Action,True
Orcs Must Die!,procrastin8or,"['Tower Defense', 'Action', 'Strategy', 'Third Person', 'Indie', 'Fantasy', 'Singleplayer', 'Comedy', 'Third-Person Shooter', 'Funny', 'Cartoony', 'Magic', 'Score Attack', 'Great Soundtrack', 'Shooter', 'Multiplayer', 'RPG', 'Adventure', 'Arcade', 'Co-op']",Action,True
A.V.A. Alliance of Valiant Arms™,76561198079405465,"['Free to Play', 'FPS', 'Action', 'Multiplayer', 'Shooter', 'Zombies', 'First-Person', 'Co-op', 'Massively Multiplayer', 'Singleplayer', 'Online Co-Op', 'Survival', 'Adventure', 'Open World', 'Strategy', 'Funny', 'Military', 'Gore', 'Horror', 'Controller']",Action,False
Shank 2,76561198056288746,"['Action', ""Beat 'em up"", 'Indie', 'Adventure', '2D', 'Local Co-Op', 'Side Scroller', 'Platformer', 'Co-op', 'Gore', 'Hack and Slash', 'Stylized', 'Mature', 'Shooter', 'Controller', 'Singleplayer', 'Difficult']",Action,True
Warp,Skepps1,"['Action', 'Adventure', 'Indie', 'Puzzle', 'Stealth', 'Aliens']",Action,True
iBomber Defense,Hw__aN,"['Strategy', 'Tower Defense', 'Indie', 'Casual']",Indie,True
BEEP,kayne110,"['Indie', 'Platformer', 'Adventure', 'Puzzle', 'Singleplayer', 'Physics', '2D', 'Action', 'Strategy', ""Shoot 'Em Up"", 'Great Soundtrack', 'Difficult', 'Casual', 'Anime', 'Shooter', 'Family Friendly', 'Sci-fi', 'Exploration', 'Open World', 'Comedy']",Adventure,False
Portal 2 - The Final Hours,Scorpion1903,"['Documentary', 'Singleplayer']",sin dato,True
Super MNC,76561198201849275,"['Free to Play', 'Action', 'Multiplayer', 'MOBA', 'Shooter', 'Third-Person Shooter', 'Strategy', 'Funny', 'Indie', 'Sports', 'Competitive', 'Character Customization', 'Massively Multiplayer', 'Co-op', 'Third Person', 'First-Person', 'Comedy', 'Adventure', 'Class-Based', 'Singleplayer']",Free to Play,True
ORION: Prelude,Agronoth,"['Dinosaurs', 'Action', 'FPS', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Shooter', 'Indie', 'Adventure', 'Open World', 'Sci-fi', 'First-Person', 'Team-Based', 'Third-Person Shooter', 'Singleplayer', 'Mechs', 'PvP', 'Strategy', 'Third Person', 'Rogue-like']",Action,True
Empire: Total War™,76561198018560501,"['Strategy', 'Historical', 'Military', 'Grand Strategy', 'Turn-Based Strategy', 'War', 'Tactical', 'RTS', 'Multiplayer', 'Singleplayer', 'Turn-Based', 'America', 'Naval', 'Great Soundtrack', 'Action', 'Turn-Based Tactics', 'Real Time Tactics', 'Atmospheric', 'Adventure', 'Classic']",Strategy,True
A New Beginning - Final Cut,purplecubefruit,"['Adventure', 'Point & Click', 'Indie', 'Sci-fi', 'Post-apocalyptic', 'Hand-drawn', 'Singleplayer', 'Puzzle', 'Female Protagonist', 'Story Rich', '2D']",Adventure,False
Lume,Swahboo,"['Adventure', 'Indie', 'Point & Click', 'Casual', 'Puzzle', 'Short', 'Female Protagonist', 'Singleplayer']",Adventure,False
Critical Mass,fedexplus,"['Casual', 'Indie', 'Puzzle', 'Singleplayer', 'Match 3']",Casual,True
Ms. Splosion Man,DemonPieOfTheNight,"['Indie', 'Action', 'Platformer', 'Female Protagonist', 'Co-op', 'Local Co-Op', 'Comedy']",Action,True
Age of Empires® III: Complete Collection,76561198032143135,"['Strategy', 'RTS', 'Base Building', 'Historical', 'Multiplayer', 'Resource Management', 'City Builder', 'War', 'Simulation', 'Real-Time', 'Singleplayer', 'Classic', 'Military', 'Building', 'Open World', 'Action', 'Co-op', 'Real-Time with Pause', 'Adventure', 'Online Co-Op']",Simulation,True
Terraria,76561198083226897,"['Sandbox', 'Adventure', 'Survival', '2D', 'Multiplayer', 'Crafting', 'Building', 'Exploration', 'Pixel Graphics', 'Co-op', 'Indie', 'Open World', 'Action', 'RPG', 'Online Co-Op', 'Singleplayer', 'Platformer', 'Replay Value', 'Atmospheric', 'Family Friendly']",Action,True
Tobe's Vertical Adventure,meiasvivarinapodeconfiar,"['Indie', 'Action', 'Adventure', 'Platformer', 'Local Co-Op', 'Retro']",Action,True
PixelJunk™ Eden,banksyyo,"['Casual', 'Indie', 'Platformer', 'Great Soundtrack', 'Action', 'Atmospheric', 'Music', 'Colorful', 'Singleplayer', '2D', 'Relaxing', 'Pixel Graphics']",Action,True
Aliens vs. Predator™,CHAAANG,"['Action', 'FPS', 'Aliens', 'Sci-fi', 'Multiplayer', 'Horror', 'Shooter', 'Singleplayer', 'First-Person', 'Stealth', 'Gore', 'Survival', 'Atmospheric', 'Co-op', 'Survival Horror', 'Hunting', 'Blood', 'Adventure', 'Online Co-Op', 'Strategy']",Action,True
Bastion,76561197974500703,"['Great Soundtrack', 'Indie', 'Action', 'Narration', 'Singleplayer', 'RPG', 'Hack and Slash', 'Story Rich', 'Dynamic Narration', 'Isometric', 'Adventure', 'Action RPG', 'Fantasy', 'Atmospheric', 'Colorful', 'Post-apocalyptic', 'Twin Stick Shooter', '2D', 'Controller', 'Music']",Action,True
Space Pirates and Zombies,evcentric,"['Space', 'Action', 'Indie', 'Sci-fi', 'Strategy', 'Top-Down', 'RPG', 'Zombies', 'Procedural Generation', 'Singleplayer', 'Open World', '2D', 'Pirates', 'Exploration', 'Shooter', 'Sandbox', 'Adventure', 'RTS']",Action,True
Breath of Death VII,Hawkez,"['RPG', 'Indie', 'Comedy', 'JRPG', 'Retro', 'Pixel Graphics', 'Singleplayer', 'Turn-Based', 'Parody', 'Funny', 'Short', 'Fantasy', 'Adventure', '2D', 'RPGMaker', 'Horror']",RPG,True
